"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","Rank","Population","Median","Parkland.as","Percent.of","Spending","Basketball.Hoops","Dog.Parks","Playgrounds","Recreation","Amenities","Raw.Total","ParkScore","ParkScore.Rating"
"31",1235000,"Jacksonville",25.4,14.7,6.2,76.4,2.8,7.2,6.2,9.1,18.9,20.3,10.7,33.7,32.1,14.2,27.3,31.3,13.7,3.4,62.8,72.6,90,869421,11,14,3,2,5,4,12,17,10,40,33.5,NA
"32",1245000,"Miami",20.8,14.8,4.9,71.9,3.6,6.4,7.2,8.3,34.7,18.4,14.3,31.1,33.2,15,36.1,29.9,16.7,3.6,62.3,71.1,48,434656,4,6,30,11,11,8,4,19,11,62,51.5,NA
"33",1253000,"Orlando",23.7,15.9,5.8,75.8,3,6.9,6.3,8.7,21.8,18,11.6,32.8,32.8,13.6,26.8,26.9,13.8,3.4,60.1,69.5,53,257847,7,5,17,15,19,11,9,20,15,59,49,NA
"34",1263000,"St. Petersburg",23.4,18.3,6.1,76.5,2.7,6.8,6,9.1,18.1,21.5,9.9,29.7,29.1,13.7,26.2,27.2,12.9,3.1,60.5,71.5,16,252149,6,16,25,16,15,20,13,15,16,79,66,NA
"35",1271000,"Tampa",23.2,16.4,5.8,75.4,3,6.7,6.3,8.7,22.1,19.7,11.7,32,31.2,13.9,26.2,27.6,14.3,3.4,60.2,71.6,40,359373,8,7,18,18,18,20,8,20,17,68,56.5,NA
"36",1304000,"Atlanta",23.6,15.5,5.8,78.4,3.1,6.4,6.1,9.9,17.1,17.5,12.9,37.6,31.2,11.7,26.2,31.8,12.4,4.1,64.3,75,50,453038,6,5,22,16,9,10,11,18,12,61,51,NA
"37",1319000,"Columbus",27.1,14.5,6,76.7,3.1,7.4,6.4,10.6,19.5,20.3,12.9,38.3,33.2,13.4,31,37.3,13.9,4,65.1,74.4,56,786868,15,11,14,11,6,5,6,8,6,57,47.5,NA
"38",1703012,"Aurora",22.6,17.9,5.7,72.8,2.8,5.9,6.1,9,18.7,16.8,11.1,30.4,32.8,12,29.2,33.6,12.9,3.1,59.6,67.2,15,353059,15,11,33,17,5,7,8,2,6,82,68.5,NA
"39",1714000,"Chicago",22.2,20.4,5.7,75.1,3.1,5.9,6.3,9.4,17.6,18.1,12.5,34.1,32.4,12,28.6,34.2,12.8,3.7,60.5,69.1,11,2771944,2,10,39,20,16,8,13,20,14,85,71,NA
"40",1825000,"Fort Wayne",24.3,17.2,6.2,71.7,2.7,7.2,6.5,9.7,15.7,21,10.6,31.8,32.5,13.5,27.6,32.1,13.1,3.2,61.7,63.7,98,246777,7,3,10,8,5,7,8,5,6,34,28.5,NA
